I0,I1,I2
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
20.000000,12.895075,3552.462646
